-DOCSTART-	_	_	O
industries	industry	NOUN	O
is	be	AUX	O
as	as	ADP	O
follows	follow	VERB	O
:	:	PUNCT	O
oil	oil	NOUN	B-VAR
and	and	CCONJ	I-VAR
gas	gas	NOUN	I-VAR
,	,	PUNCT	O
6	6	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
tech	tech	NOUN	B-VAR
,	,	PUNCT	O
8	8	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
mining	mining	NOUN	B-VAR
,	,	PUNCT	O
9	9	NUM	B-PARAM
%	%	NOUN	I-PARAM
;	;	PUNCT	O
retail	retail	NOUN	B-VAR
,	,	PUNCT	O
11	11	NUM	B-PARAM
%	%	NOUN	I-PARAM
.	.	PUNCT	O
George	George	PROPN	O
wants	want	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
his	his	PRON	O
return	return	NOUN	B-OBJ_NAME
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	lp	NOUN	O
that	that	DET	O
will	will	AUX	O
allow	allow	VERB	O
him	he	PRON	O
to	to	PART	O
achieve	achieve	VERB	O
this	this	DET	O
goal	goal	NOUN	O
.	.	PUNCT	O

A	a	DET	O
bubble	bubble	NOUN	O
tea	tea	NOUN	O
store	store	NOUN	O
sells	sell	VERB	O
peach	peach	NOUN	B-VAR
and	and	CCONJ	O
mango	mango	NOUN	B-VAR
flavored	flavor	VERB	O
drinks	drink	NOUN	O
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
can	can	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
150	150	NUM	B-LIMIT
drinks	drink	NOUN	O
total	total	VERB	O
.	.	PUNCT	O
To	to	PART	O
stay	stay	VERB	O
in	in	ADP	O
business	business	NOUN	O
,	,	PUNCT	O
they	they	PRON	O
must	must	AUX	O
sell	sell	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
60	60	NUM	B-LIMIT
mango	mango	NOUN	B-VAR
drinks	drink	NOUN	I-VAR
and	and	CCONJ	O
40	40	NUM	B-LIMIT
peach	peach	NOUN	B-VAR
drinks	drink	NOUN	I-VAR
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
fruit	fruit	NOUN	O
shortages	shortage	NOUN	O
however	however	ADV	O
,	,	PUNCT	O
they	they	PRON	O
can	can	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
120	120	NUM	B-LIMIT
mango	mango	NOUN	B-VAR
drinks	drink	NOUN	I-VAR
and	and	CCONJ	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
70	70	NUM	B-LIMIT
peach	peach	NOUN	B-VAR
drinks	drink	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
mango	mango	NOUN	B-VAR
drink	drink	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
2	2	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
peach	peach	NOUN	B-VAR
drink	drink	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
3	3	NUM	B-PARAM
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
drink	drink	NOUN	O
should	should	AUX	O
they	they	PRON	O
sell	sell	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
luggage	luggage	NOUN	O
company	company	NOUN	O
makes	make	VERB	O
carry	carry	VERB	B-VAR
-	-	PUNCT	I-VAR
on	on	ADP	I-VAR
and	and	CCONJ	O
large	large	ADJ	B-VAR
suitcases	suitcase	NOUN	I-VAR
in	in	ADP	O
their	their	PRON	O
factory	factory	NOUN	O
.	.	PUNCT	O
A	a	DET	O
different	different	ADJ	O
team	team	NOUN	O
produces	produce	VERB	O
each	each	DET	O
kind	kind	NOUN	O
of	of	ADP	O
suitcase	suitcase	NOUN	O
and	and	CCONJ	O
each	each	DET	O
team	team	NOUN	O
has	have	VERB	O
a	a	DET	O
different	different	ADJ	O
maximum	maximum	ADJ	B-CONST_DIR
production	production	NOUN	O
rate	rate	NOUN	O
:	:	PUNCT	O
15	15	NUM	B-LIMIT
carry	carry	VERB	B-VAR
-	-	PUNCT	I-VAR
on	on	ADP	I-VAR
suitcases	suitcase	NOUN	I-VAR
per	per	ADP	O
day	day	NOUN	O
and	and	CCONJ	O
20	20	NUM	B-LIMIT
large	large	ADJ	B-VAR
suitcases	suitcase	NOUN	I-VAR
per	per	ADP	O
day	day	NOUN	O
respectively	respectively	ADV	O
.	.	PUNCT	O
Both	both	DET	O
teams	team	NOUN	O
require	require	VERB	O
use	use	NOUN	O
of	of	ADP	O
a	a	DET	O
sewing	sew	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
this	this	DET	O
machine	machine	NOUN	O
can	can	AUX	O
process	process	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
25	25	NUM	B-LIMIT
suitcases	suitcase	NOUN	O
per	per	ADP	O
day	day	NOUN	O
of	of	ADP	O
either	either	DET	O
type	type	NOUN	O
.	.	PUNCT	O
While	while	SCONJ	O
the	the	DET	O
carry	carry	NOUN	B-VAR
-	-	PUNCT	I-VAR
on	on	ADP	I-VAR
suitcases	suitcase	NOUN	I-VAR
generate	generate	VERB	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
100	100	NUM	B-PARAM
per	per	ADP	O
suitcase	suitcase	NOUN	O
,	,	PUNCT	O
the	the	DET	O
large	large	ADJ	B-VAR
suitcases	suitcase	NOUN	I-VAR
generate	generate	VERB	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
150	150	NUM	B-PARAM
per	per	ADP	O
suitcase	suitcase	NOUN	O
.	.	PUNCT	O
Assuming	assume	VERB	O
the	the	DET	O
company	company	NOUN	O
can	can	AUX	O
sell	sell	VERB	O
all	all	DET	O
the	the	DET	O
suitcases	suitcase	NOUN	O
they	they	PRON	O
make	make	VERB	O
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
of	of	ADP	O
suitcase	suitcase	NOUN	O
should	should	AUX	O
they	they	PRON	O
make	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
banana	banana	NOUN	O
farmer	farmer	NOUN	O
has	have	VERB	O
to	to	PART	O
transport	transport	VERB	O
his	his	PRON	O
bananas	banana	NOUN	O
using	use	VERB	O
cars	car	NOUN	B-VAR
and	and	CCONJ	O
motor	motor	NOUN	B-VAR
bikes	bike	NOUN	I-VAR
.	.	PUNCT	O
Each	each	DET	O
car	car	NOUN	B-VAR
can	can	AUX	O
take	take	VERB	O
100	100	NUM	B-PARAM
bananas	banana	NOUN	B-OBJ_NAME
and	and	CCONJ	O
each	each	DET	O
bike	bike	NOUN	B-VAR
can	can	AUX	O
take	take	VERB	O
30	30	NUM	B-PARAM
bananas	banana	NOUN	B-OBJ_NAME
.	.	PUNCT	O
The	the	DET	O
cost	cost	NOUN	O
of	of	ADP	O
running	run	VERB	O
each	each	DET	O
car	car	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
10	10	NUM	B-PARAM
per	per	ADP	O
trip	trip	NOUN	O
and	and	CCONJ	O
the	the	DET	O
cost	cost	NOUN	O
of	of	ADP	O
running	run	VERB	O
each	each	DET	O
bike	bike	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
6	6	NUM	B-PARAM
per	per	ADP	O
trip	trip	NOUN	O
.	.	PUNCT	O
The	the	DET	O
farmer	farmer	NOUN	O
wants	want	VERB	O
to	to	PART	O
spend	spend	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
200	200	NUM	B-LIMIT
on	on	ADP	O
transporting	transport	VERB	O
his	his	PRON	O
bananas	banana	NOUN	O
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
traffic	traffic	NOUN	O
laws	law	NOUN	O
,	,	PUNCT	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
cars	car	NOUN	B-VAR
must	must	AUX	O
be	be	VERB	O
less	less	ADJ	B-CONST_DIR
than	than	SCONJ	I-CONST_DIR
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
bikes	bike	NOUN	B-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
bananas	banana	NOUN	B-OBJ_NAME
that	that	DET	O
can	can	AUX	O
be	be	AUX	O
transported	transport	VERB	O
.	.	PUNCT	O

The	the	DET	O
mayor	mayor	NOUN	O
has	have	VERB	O
a	a	DET	O
budget	budget	NOUN	B-CONST_DIR
of	of	ADP	O
up	up	ADP	O
to	to	PART	O
$	$	SYM	O
3500	3500	NUM	B-LIMIT
to	to	PART	O
invest	invest	VERB	O
in	in	ADP	O
city	city	NOUN	O
infrastructure	infrastructure	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
can	can	AUX	O
invest	invest	VERB	O
his	his	PRON	O
money	money	NOUN	O
on	on	ADP	O
roads	road	NOUN	B-VAR
and	and	CCONJ	O
housing	housing	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
housing	housing	NOUN	B-VAR
yields	yield	NOUN	O
a	a	DET	O
$	$	SYM	O
0.95	0.95	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
Each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
on	on	ADP	O
roads	road	NOUN	B-VAR
yields	yield	VERB	O
a	a	DET	O
$	$	SYM	O
0.32	0.32	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
No	no	ADV	B-CONST_DIR
less	less	ADJ	I-CONST_DIR
than	than	SCONJ	I-CONST_DIR
$	$	SYM	O
750	750	NUM	B-LIMIT
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
housing	housing	NOUN	B-VAR
and	and	CCONJ	O
no	no	DET	B-CONST_DIR
less	less	ADJ	I-CONST_DIR
than	than	SCONJ	I-CONST_DIR
24	24	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
money	money	NOUN	O
invested	invest	VERB	O
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
roads	road	NOUN	B-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	lp	NOUN	O
that	that	DET	O
can	can	AUX	O
be	be	AUX	O
used	use	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
total	total	ADJ	O
profit	profit	NOUN	B-OBJ_NAME
earned	earn	VERB	O
from	from	ADP	O
his	his	PRON	O
investment	investment	NOUN	O
.	.	PUNCT	O

A	a	DET	O
restaurant	restaurant	NOUN	O
employs	employ	VERB	O
waiters	waiter	NOUN	B-VAR
earning	earn	VERB	B-OBJ_NAME
$	$	SYM	O
147	147	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
and	and	CCONJ	O
cooks	cook	NOUN	B-VAR
earning	earn	VERB	B-OBJ_NAME
$	$	SYM	O
290	290	NUM	B-PARAM
per	per	ADP	O
week	week	NOUN	O
.	.	PUNCT	O
It	it	PRON	O
is	be	AUX	O
required	require	VERB	O
to	to	PART	O
keep	keep	VERB	O
the	the	DET	O
weekly	weekly	ADJ	O
wage	wage	NOUN	O
bill	bill	NOUN	O
below	below	ADP	B-CONST_DIR
$	$	SYM	O
17,600	17,600	NUM	B-LIMIT
.	.	PUNCT	O
The	the	DET	O
restaurant	restaurant	NOUN	O
requires	require	VERB	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
50	50	NUM	B-LIMIT
staff	staff	NOUN	O
,	,	PUNCT	O
of	of	ADP	O
whom	whom	PRON	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
12	12	NUM	B-LIMIT
must	must	AUX	O
be	be	VERB	O
cooks	cook	NOUN	B-VAR
.	.	PUNCT	O
Union	union	NOUN	O
regulations	regulation	NOUN	O
require	require	VERB	O
that	that	SCONJ	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
cooks	cook	NOUN	B-VAR
should	should	AUX	O
be	be	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
one	one	NUM	B-PARAM
third	third	NOUN	I-PARAM
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
waiters	waiter	NOUN	B-VAR
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
the	the	DET	O
wage	wage	NOUN	B-OBJ_NAME
bill	bill	NOUN	I-OBJ_NAME
.	.	PUNCT	O

Frank	Frank	PROPN	O
has	have	VERB	O
up	up	ADP	B-CONST_DIR
to	to	PART	I-CONST_DIR
$	$	SYM	O
5000	5000	NUM	B-LIMIT
to	to	PART	O
invest	invest	VERB	O
in	in	ADP	O
the	the	DET	O
cigarette	cigarette	NOUN	B-VAR
and	and	CCONJ	O
tobacco	tobacco	NOUN	B-VAR
industries	industry	NOUN	I-VAR
.	.	PUNCT	O
After	after	ADP	O
talking	talk	VERB	O
to	to	ADP	O
his	his	PRON	O
friends	friend	NOUN	O
,	,	PUNCT	O
he	he	PRON	O
has	have	AUX	O
decided	decide	VERB	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
40	40	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
the	the	DET	O
money	money	NOUN	O
invested	invest	VERB	O
must	must	AUX	O
be	be	VERB	O
in	in	ADP	O
the	the	DET	O
cigarette	cigarette	NOUN	B-VAR
industry	industry	NOUN	I-VAR
and	and	CCONJ	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
$	$	SYM	O
1000	1000	NUM	B-LIMIT
must	must	AUX	O
be	be	AUX	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
tobacco	tobacco	NOUN	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
Each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
cigarette	cigarette	NOUN	B-VAR
industry	industry	NOUN	I-VAR
yields	yield	VERB	O
a	a	DET	O
$	$	SYM	O
0.30	0.30	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
while	while	SCONJ	O
each	each	DET	O
dollar	dollar	NOUN	O
invested	invest	VERB	O
in	in	ADP	O
the	the	DET	O
tobacco	tobacco	NOUN	B-VAR
industry	industry	NOUN	I-VAR
yields	yield	VERB	O
a	a	DET	O
$	$	SYM	O
0.45	0.45	NUM	B-PARAM
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O
Formulate	formulate	VERB	O
a	a	DET	O
LP	LP	PROPN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
Frank	Frank	PROPN	O
's	's	PART	O
investment	investment	NOUN	B-OBJ_NAME
.	.	PUNCT	O

A	a	DET	O
long	long	ADJ	O
haul	haul	NOUN	O
bus	bus	NOUN	O
carries	carry	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
100	100	NUM	B-LIMIT
passengers	passenger	NOUN	O
.	.	PUNCT	O
A	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
50	50	NUM	B-PARAM
is	be	AUX	O
made	make	VERB	O
for	for	ADP	O
each	each	DET	O
premium	premium	NOUN	B-VAR
class	class	NOUN	I-VAR
seat	seat	NOUN	O
with	with	ADP	O
extra	extra	ADJ	O
leg	leg	NOUN	O
room	room	NOUN	O
and	and	CCONJ	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
30	30	NUM	B-PARAM
is	be	AUX	O
made	make	VERB	O
on	on	ADP	O
each	each	DET	O
regular	regular	ADJ	B-VAR
class	class	NOUN	I-VAR
seat	seat	NOUN	O
.	.	PUNCT	O
The	the	DET	O
bus	bus	NOUN	O
reserves	reserve	NOUN	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
30	30	NUM	B-LIMIT
seats	seat	NOUN	O
for	for	ADP	O
the	the	DET	O
premium	premium	NOUN	B-VAR
class	class	NOUN	I-VAR
seats	seat	NOUN	O
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
twice	twice	ADV	B-PARAM
as	as	ADV	O
many	many	ADJ	O
passengers	passenger	NOUN	O
prefer	prefer	VERB	O
to	to	PART	O
save	save	VERB	O
money	money	NOUN	O
and	and	CCONJ	O
travel	travel	NOUN	O
by	by	ADP	O
regular	regular	ADJ	B-VAR
class	class	NOUN	I-VAR
than	than	SCONJ	O
by	by	ADP	O
premium	premium	NOUN	B-VAR
class	class	NOUN	I-VAR
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
seats	seat	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
should	should	AUX	O
be	be	AUX	O
sold	sell	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

Each	each	DET	O
month	month	NOUN	O
,	,	PUNCT	O
a	a	DET	O
video	video	NOUN	O
-	-	PUNCT	O
game	game	NOUN	O
store	store	NOUN	O
owner	owner	NOUN	O
can	can	AUX	O
spend	spend	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
30000	30000	NUM	B-LIMIT
on	on	ADP	O
consoles	console	NOUN	B-VAR
and	and	CCONJ	O
discs	disc	NOUN	B-VAR
.	.	PUNCT	O
A	a	DET	O
console	console	NOUN	B-VAR
costs	cost	VERB	O
the	the	DET	O
store	store	NOUN	O
owner	owner	NOUN	O
$	$	SYM	O
300	300	NUM	B-PARAM
and	and	CCONJ	O
a	a	DET	O
disc	disc	NOUN	B-VAR
costs	cost	VERB	O
$	$	SYM	O
30	30	NUM	B-PARAM
.	.	PUNCT	O
Each	each	DET	O
console	console	NOUN	B-VAR
is	be	AUX	O
sold	sell	VERB	O
for	for	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
200	200	NUM	B-PARAM
while	while	SCONJ	O
each	each	DET	O
disc	disc	NOUN	B-VAR
is	be	AUX	O
sold	sell	VERB	O
for	for	ADP	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
30	30	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
owner	owner	NOUN	O
estimates	estimate	VERB	O
that	that	SCONJ	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
20	20	NUM	B-LIMIT
but	but	CCONJ	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
50	50	NUM	B-LIMIT
consoles	console	NOUN	B-VAR
are	be	AUX	O
sold	sell	VERB	O
each	each	DET	O
month	month	NOUN	O
.	.	PUNCT	O
He	he	PRON	O
also	also	ADV	O
estimates	estimate	VERB	O
that	that	SCONJ	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
discs	disc	NOUN	B-VAR
sold	sell	VERB	O
is	be	AUX	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
five	five	NUM	B-PARAM
times	time	NOUN	O
the	the	DET	O
number	number	NOUN	O
of	of	ADP	O
consoles	console	NOUN	B-VAR
sold	sell	VERB	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
,	,	PUNCT	O
consoles	console	NOUN	B-VAR
and	and	CCONJ	O
discs	disc	NOUN	B-VAR
,	,	PUNCT	O
should	should	AUX	O
be	be	AUX	O
sold	sell	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
company	company	NOUN	O
is	be	AUX	O
deciding	decide	VERB	O
how	how	ADV	O
to	to	PART	O
run	run	VERB	O
its	its	PRON	O
tv	tv	NOUN	O
commercials	commercial	NOUN	O
.	.	PUNCT	O
They	they	PRON	O
can	can	AUX	O
be	be	AUX	O
run	run	VERB	O
during	during	ADP	O
movies	movie	NOUN	B-VAR
,	,	PUNCT	O
sports	sport	NOUN	B-VAR
games	game	NOUN	I-VAR
,	,	PUNCT	O
or	or	CCONJ	O
comedy	comedy	NOUN	B-VAR
shows	show	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
cost	cost	NOUN	O
for	for	ADP	O
a	a	DET	O
commercial	commercial	NOUN	O
as	as	ADV	O
well	well	ADV	O
as	as	ADP	O
the	the	DET	O
expected	expect	VERB	O
audience	audience	NOUN	O
reach	reach	VERB	O
is	be	AUX	O
given	give	VERB	O
.	.	PUNCT	O
During	during	ADP	O
movies	movie	NOUN	B-VAR
,	,	PUNCT	O
a	a	DET	O
commercial	commercial	ADJ	O
costs	cost	VERB	O
$	$	SYM	O
1000	1000	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
25000	25000	NUM	B-PARAM
viewers	viewer	NOUN	B-OBJ_NAME
.	.	PUNCT	O
During	during	ADP	O
sports	sport	NOUN	B-VAR
games	game	NOUN	I-VAR
,	,	PUNCT	O
a	a	DET	O
commercial	commercial	ADJ	O
costs	cost	VERB	O
$	$	SYM	O
5000	5000	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
100000	100000	NUM	B-PARAM
viewers	viewer	NOUN	B-OBJ_NAME
.	.	PUNCT	O
During	during	ADP	O
comedy	comedy	NOUN	B-VAR
shows	show	NOUN	I-VAR
,	,	PUNCT	O
a	a	DET	O
commercial	commercial	ADJ	O
costs	cost	VERB	O
$	$	SYM	O
2000	2000	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
45000	45000	NUM	B-PARAM
peoples	people	NOUN	B-OBJ_NAME
.	.	PUNCT	O
The	the	DET	O
sports	sport	NOUN	O
broadcaster	broadcaster	NOUN	O
limits	limit	VERB	B-CONST_DIR
the	the	DET	I-CONST_DIR
number	number	NOUN	I-CONST_DIR
of	of	ADP	O
commercials	commercial	NOUN	O
during	during	ADP	O
sports	sport	NOUN	B-VAR
games	game	NOUN	I-VAR
from	from	ADP	O
a	a	DET	O
single	single	ADJ	O
company	company	NOUN	O
to	to	ADP	O
five	five	NUM	B-LIMIT
.	.	PUNCT	O
In	in	ADP	O
order	order	NOUN	O
to	to	PART	O
attract	attract	VERB	O
a	a	DET	O
wide	wide	ADJ	O
range	range	NOUN	O
of	of	ADP	O
people	people	NOUN	O
,	,	PUNCT	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
a	a	DET	O
third	third	NOUN	B-LIMIT
of	of	ADP	O
all	all	DET	O
commercials	commercial	NOUN	O
should	should	AUX	O
occur	occur	VERB	O
during	during	ADP	O
comedy	comedy	NOUN	B-VAR
shows	show	NOUN	I-VAR
and	and	CCONJ	O
a	a	DET	O
minimum	minimum	NOUN	B-CONST_DIR
of	of	ADP	O
15	15	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
should	should	AUX	O
occur	occur	VERB	O
during	during	ADP	O
movies	movie	NOUN	B-VAR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
weekly	weekly	ADJ	O
budget	budget	NOUN	B-CONST_DIR
is	be	VERB	O
$	$	SYM	O
50000	50000	NUM	B-LIMIT
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
commercials	commercial	NOUN	O
should	should	AUX	O
be	be	AUX	O
run	run	VERB	O
in	in	ADP	O
each	each	DET	O
of	of	ADP	O
the	the	DET	O
three	three	NUM	O
possible	possible	ADJ	O
choices	choice	NOUN	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
audience	audience	NOUN	B-OBJ_NAME
.	.	PUNCT	O

A	a	DET	O
keyboard	keyboard	NOUN	O
factory	factory	NOUN	O
makes	make	VERB	O
regular	regular	ADJ	B-VAR
and	and	CCONJ	O
mechanical	mechanical	ADJ	B-VAR
keyboards	keyboard	NOUN	I-VAR
.	.	PUNCT	O
Projections	projection	NOUN	O
indicate	indicate	VERB	O
a	a	DET	O
demand	demand	NOUN	O
of	of	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
165	165	NUM	B-LIMIT
regular	regular	ADJ	B-VAR
keyboards	keyboard	NOUN	I-VAR
and	and	CCONJ	O
70	70	NUM	B-LIMIT
mechanical	mechanical	ADJ	B-VAR
keyboards	keyboard	NOUN	I-VAR
each	each	DET	O
day	day	NOUN	O
.	.	PUNCT	O
Because	because	SCONJ	O
of	of	ADP	O
the	the	DET	O
manual	manual	ADJ	O
labor	labor	NOUN	O
involved	involve	VERB	O
,	,	PUNCT	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
300	300	NUM	B-LIMIT
regular	regular	ADJ	B-VAR
keyboards	keyboard	NOUN	I-VAR
and	and	CCONJ	O
150	150	NUM	B-LIMIT
mechanical	mechanical	ADJ	B-VAR
keyboards	keyboard	NOUN	I-VAR
can	can	AUX	O
be	be	AUX	O
made	make	VERB	O
each	each	DET	O
day	day	NOUN	O
.	.	PUNCT	O
To	to	PART	O
satisfy	satisfy	VERB	O
a	a	DET	O
contract	contract	NOUN	O
with	with	ADP	O
an	an	DET	O
electronics	electronics	NOUN	O
shop	shop	NOUN	O
,	,	PUNCT	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
250	250	NUM	B-LIMIT
keyboards	keyboard	NOUN	O
of	of	ADP	O
either	either	DET	O
type	type	NOUN	O
must	must	AUX	O
be	be	AUX	O
made	make	VERB	O
each	each	DET	O
day	day	NOUN	O
.	.	PUNCT	O
The	the	DET	O
factory	factory	NOUN	O
makes	make	VERB	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
30	30	NUM	B-PARAM
per	per	ADP	O
regular	regular	ADJ	B-VAR
keyboard	keyboard	NOUN	I-VAR
and	and	CCONJ	O
$	$	SYM	O
60	60	NUM	B-PARAM
per	per	ADP	O
mechanical	mechanical	ADJ	B-VAR
keyboard	keyboard	NOUN	I-VAR
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
keyboard	keyboard	NOUN	O
should	should	AUX	O
the	the	DET	O
factory	factory	NOUN	O
make	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
